:START_ID,role,:END_ID,:TYPE
14b1a1d80a0a3c7500056902bafab012,Owns,14b6d41b0a0a3c750185822ae335512a,Owns
14b1a1d80a0a3c7500056902bafab012,Owns,14b700ea0a0a3c7501531eda4b9eb6c8,Owns
14b1d8b80a0a3c7500cf78667bb50461,Owns,14b7a0760a0a3c75014488b891c7244a,Owns
14b1d8b80a0a3c7500cf78667bb50461,Owns,14b7c4dd0a0a3c7501afb49beceb1d89,Owns
14b1d8b80a0a3c7500cf78667bb50461,Owns,14b7ece00a0a3c750128b97b89cb0a7b,Owns
14b1d8b80a0a3c7500cf78667bb50461,Owns,14b81d3a0a0a3c7500855cef0c58a327,Owns
14b1d8b80a0a3c7500cf78667bb50461,Owns,14b846820a0a3c750081e56d39a70f7f,Owns
1598082e4f3b9e00cfc9bfaf0310c7e0,Owns,1998082e4f3b9e00cfc9bfaf0310c7e1,Owns
1598082e4f3b9e00cfc9bfaf0310c7e0,Owns,5198082e4f3b9e00cfc9bfaf0310c7e3,Owns
1598082e4f3b9e00cfc9bfaf0310c7e0,Owns,d998082e4f3b9e00cfc9bfaf0310c7e3,Owns
17df1acd2c8679001e22fa3cef9e241c,Owns,23df9acd2c8679001e22fa3cef9e24bf,Owns
17df1acd2c8679001e22fa3cef9e241c,Owns,2fdf1acd2c8679001e22fa3cef9e241e,Owns
17df1acd2c8679001e22fa3cef9e241c,Owns,a3df1acd2c8679001e22fa3cef9e241e,Owns
17df1acd2c8679001e22fa3cef9e241c,Owns,abdf9acd2c8679001e22fa3cef9e24bf,Owns
17df1acd2c8679001e22fa3cef9e241c,Owns,d3df1acd2c8679001e22fa3cef9e241d,Owns
18b7af0585e6c5001e22301f4739b109,Owns,37aa1819852ec5001e22301f4739b1dc,Owns
18b7af0585e6c5001e22301f4739b109,Owns,4c9c0c5d85aac5001e22301f4739b18d,Owns
18b7af0585e6c5001e22301f4739b109,Owns,5abbdc99852ec5001e22301f4739b16f,Owns
18b7af0585e6c5001e22301f4739b109,Owns,844b9c59852ec5001e22301f4739b14f,Owns
18b7af0585e6c5001e22301f4739b109,Owns,f51c5cd9852ec5001e22301f4739b101,Owns
19d6fca3ff896800b15cfe5c157efee6,Owns,147cd1eaff292c00b15cfe5c157efe65,Owns
19d6fca3ff896800b15cfe5c157efee6,Owns,b67c15eaff292c00b15cfe5c157efe31,Owns
19f4f6924fafbec0f6bd4b901210c7ff,Owns,19f43a924fafbec0f6bd4b901210c709,Owns
19f4f6924fafbec0f6bd4b901210c7ff,Owns,ddf43a924fafbec0f6bd4b901210c727,Owns
19f4f6924fafbec0f6bd4b901210c7ff,Owns,edf43a924fafbec0f6bd4b901210c72a,Owns
19f4f6924fafbec0f6bd4b901210c7ff,Owns,edf43a924fafbec0f6bd4b901210c72d,Owns
19f4f6924fafbec0f6bd4b901210c7ff,Owns,edf43a924fafbec0f6bd4b901210c730,Owns
1a4068750a0a3c7500cf7dd8195894c5,Owns,1a4275fe0a0a3c750156e93d9aac88c6,Owns
1a4068750a0a3c7500cf7dd8195894c5,Owns,2e1919b14f061200872a5bad0210c780,Owns
1a4068750a0a3c7500cf7dd8195894c5,Owns,ec415fb3a17d384ccb046ac47a1e8ad6,Owns
1a4068750a0a3c7500cf7dd8195894c5,Owns,f61919b14f061200872a5bad0210c781,Owns
1d0daac44fdaf640e52c605f0310c7a3,Owns,9d0da6084fdaf640e52c605f0310c7fd,Owns
1dbd02684f0f0200f6bd4b901210c7c4,Owns,15bd02684f0f0200f6bd4b901210c7c6,Owns
1dbd02684f0f0200f6bd4b901210c7c4,Owns,91bd02684f0f0200f6bd4b901210c7c8,Owns
1dbd02684f0f0200f6bd4b901210c7c4,Owns,9dbd02684f0f0200f6bd4b901210c7c6,Owns
1e86eb7f515a5d44eab796c9af0ca37c,Owns,2efd8d1130cb918878aa09ac9e71ac1f,Owns
1e86eb7f515a5d44eab796c9af0ca37c,Owns,310e8d1130cb918878aa09ac9e71ac27,Owns
1e86eb7f515a5d44eab796c9af0ca37c,Owns,e51e8d1130cb918878aa09ac9e71ace8,Owns
1e86eb7f515a5d44eab796c9af0ca37c,Owns,fc2ecd1130cb918878aa09ac9e71ac36,Owns
1e9e53380a0a3c2500a012b04fe888ea,Owns,25fe3ff05b5e1000da9f6cb43e4254ad,Owns
1e9e53380a0a3c2500a012b04fe888ea,Owns,86b03fec0a0a3c2501c9d310a259c3d5,Owns
1e9e53380a0a3c2500a012b04fe888ea,Owns,86b078960a0a3c2500779a56044ceeaf,Owns
